year,01,02,03,04,05,06,07,08,09,10,11,12
1944,83.2,59.7,58.9,42.0,45.7,88.1,105.4,46.2,70.7,62.0,134.0,56.6
1945,44.6,74.9,38.5,55.9,72.9,73.6,78.4,125.7,54.5,43.0,47.1,63.4
1946,41.9,127.3,30.6,21.6,74.7,123.8,76.2,80.7,68.7,58.5,31.9,30.7
1947,35.3,31.1,79.4,51.8,41.4,62.9,67.8,26.9,30.8,17.9,123.1,120.4
1948,106.9,76.7,29.8,40.6,59.1,82.5,128.6,108.8,33.2,37.3,29.8,23.1
1949,38.3,31.1,49.2,59.5,94.5,65.6,38.4,63.5,44.0,23.0,57.8,91.6
1950,48.5,88.6,19.6,83.8,73.8,58.4,105.0,76.5,83.8,39.2,105.3,47.0
1951,77.2,45.7,66.7,40.4,69.8,102.8,71.0,69.6,63.3,10.7,91.8,41.9
1952,74.6,47.6,76.7,33.5,53.0,73.4,41.8,69.8,100.2,86.8,103.6,70.0
1953,34.4,51.2,13.2,42.3,63.2,120.9,92.9,59.4,40.8,26.5,16.5,30.6
1954,66.2,23.5,29.7,55.7,51.6,59.3,168.5,118.5,89.4,79.2,41.9,93.7
1955,62.2,58.9,36.3,43.9,75.6,94.2,118.3,66.1,64.5,52.6,21.0,90.0
1956,68.3,25.0,54.5,62.4,47.3,115.8,123.5,107.0,51.4,86.0,54.9,47.9
1957,43.1,88.6,63.1,25.5,49.4,76.5,115.2,85.9,123.4,28.9,32.9,51.2
1958,73.8,107.5,33.9,52.0,89.9,91.6,96.6,98.1,57.4,76.8,29.5,68.9
1959,66.5,8.9,31.1,50.9,50.8,57.6,64.0,75.4,6.1,47.3,37.7,54.8
1960,65.3,38.9,32.9,41.9,67.0,60.4,86.2,134.2,47.8,116.3,79.4,78.7
1961,61.8,60.7,49.3,74.5,104.4,93.6,92.7,84.6,39.4,54.5,55.0,91.6
1962,70.5,68.2,53.4,55.7,79.9,39.8,83.2,69.8,61.3,14.3,29.5,75.8
1963,25.5,19.5,49.8,44.1,51.7,87.9,54.2,117.5,56.0,41.4,99.9,11.2
1964,22.3,37.1,43.7,50.1,70.2,58.4,34.6,82.2,53.2,66.0,69.6,43.7
1965,89.2,43.3,61.5,99.4,96.9,103.5,132.2,55.8,74.8,15.9,86.3,130.5
1966,50.0,70.2,71.2,75.4,68.7,112.5,117.7,97.4,39.1,73.1,60.8,128.9
