year,01,02,03,04,05,06,07,08,09,10,11,12
2014,46.9,88.4,181.5,168.0,180.4,232.2,228.9,176.0,136.4,99.9,60.0,22.4
2015,35.3,88.0,139.1,224.5,187.0,205.4,245.1,246.3,139.9,99.4,67.5,65.2
2016,49.4,60.2,99.1,158.6,219.5,190.7,201.3,227.2,215.2,61.4,60.3,64.5
2017,73.0,68.7,148.4,153.2,223.9,241.2,196.3,206.5,121.1,97.1,38.9,27.8
2018,33.2,113.7,112.6,225.6,287.7,218.2,311.4,248.9,206.5,157.2,75.1,25.2
2019,44.0,128.9,113.2,227.9,179.6,308.1,232.4,226.9,162.8,107.6,43.8,59.0
2020,59.2,63.9,175.8,292.4,240.5,214.7,232.9,221.6,207.1,67.4,85.7,34.8
2021,30.0,107.3,146.7,183.5,168.4,257.2,198.6,156.7,174.3,128.0,42.7,37.9
2022,41.2,85.0,235.2,190.4,247.7,278.8,265.8,272.8,152.3,141.1,75.3,38.8
2023,32.2,89.2,99.7,151.0,249.3,304.1,227.6,185.5,246.6,100.0,38.8,29.1
