price,carat,icol,icut,iclar,ishape,irep,ityp
2410,1.13,4,2,2,4,2,1
1940,0.5,6,2,3,0,0,0
670,0.3,4,4,1,0,0,0
26790,2.32,6,4,4,7,0,0
1760,1.15,1,4,0,0,2,1
1970,1.0,4,2,2,3,3,1
2090,1.15,1,4,3,0,2,1
2530,1.05,5,4,3,0,2,1
740,0.3,5,4,1,0,0,0
340,0.3,6,4,1,0,2,1
9080,1.4,3,4,1,0,0,0
31340,3.01,4,4,0,6,0,0
2140,0.72,1,2,3,1,0,0
4690,1.88,3,3,2,9,2,1
590,0.3,1,4,1,0,0,0
370,0.31,6,4,3,0,2,1
2860,0.61,6,4,3,0,0,0
2680,0.7,2,1,5,0,0,0
1990,0.6,4,3,1,0,0,0
1400,0.64,2,2,0,0,0,0
1850,1.17,1,4,3,0,2,1
16650,2.01,1,4,2,0,0,0
1030,0.4,3,2,3,0,0,0
1910,1.19,0,3,3,0,2,1
840,0.32,6,3,2,0,0,0
1310,0.33,5,4,6,0,0,0
730,0.31,1,4,5,0,0,0
480,0.3,2,3,0,0,0,0
940,0.3,5,4,6,6,0,0
880,0.43,0,2,5,0,0,0
4550,1.2,0,1,1,6,0,0
430,0.34,5,3,5,0,2,1
750,0.3,6,4,1,0,0,0
590,0.36,4,3,1,3,0,0
2270,1.13,3,3,3,0,2,1
380,0.34,2,4,4,0,2,1
1560,1.2,0,3,2,0,2,1
1130,0.35,4,4,4,0,0,0
8580,1.01,5,4,2,0,0,0
8300,1.44,3,3,4,8,0,0
1110,0.4,6,4,0,0,0,0
6190,1.07,1,4,4,0,0,0
940,0.5,4,2,1,4,0,0
720,0.66,4,4,1,0,2,1
1360,0.4,3,4,3,0,0,0
2350,1.01,6,3,2,4,3,1
19780,2.04,5,3,2,9,0,0
490,0.47,6,2,2,6,2,1
2090,0.5,5,3,3,0,0,0
1070,0.4,6,4,3,0,0,0
3360,1.02,1,3,2,0,2,1
4240,1.54,4,4,2,0,2,1
390,0.35,4,4,1,0,2,1
410,0.38,4,4,1,0,2,1
1030,0.36,6,4,4,0,0,0
69660,5.01,0,1,4,5,0,0
2450,0.57,4,4,6,0,0,0
3060,0.7,4,3,4,0,0,0
1960,0.76,0,4,4,0,0,0
410,0.4,4,2,3,6,2,1
490,0.45,4,3,1,0,2,1
610,0.25,4,4,3,0,0,0
3520,2.01,0,4,2,3,2,1
4680,1.0,4,4,0,0,0,0
910,0.38,6,3,4,1,0,0
870,0.4,6,3,0,0,0,0
3620,0.6,5,4,5,0,0,0
2370,0.5,5,4,3,0,0,0
1950,1.21,1,3,3,0,2,1
7800,1.02,5,4,4,0,0,0
1560,1.04,1,4,3,6,2,1
6300,2.11,3,4,2,0,2,1
2390,1.3,2,4,2,0,2,1
3680,0.91,4,4,1,0,0,0
1260,0.38,5,3,5,0,0,0
870,0.27,6,4,4,0,0,0
2830,0.98,5,3,0,3,0,0
2880,1.18,3,4,3,0,2,1
1690,0.5,2,2,4,0,0,0
980,0.4,4,4,1,0,0,0
4940,2.0,2,3,1,0,2,1
4200,2.03,0,4,2,6,2,1
2310,0.57,6,4,4,0,0,0
9260,1.75,6,4,4,0,2,1
1970,1.15,4,4,0,0,2,1
4250,0.8,3,4,5,0,0,0
1850,0.6,2,3,1,0,0,0
2440,0.5,6,4,3,0,0,0
2780,0.8,0,4,3,0,0,0
790,0.32,5,3,5,6,0,0
6790,1.3,4,4,0,6,0,0
4090,1.0,2,2,0,6,0,0
8830,1.15,3,4,3,0,0,0
350,0.35,4,3,2,2,3,1
810,0.5,6,2,4,6,2,1
890,0.3,6,3,3,0,0,0
1560,1.01,1,3,4,5,2,1
9050,1.0,5,4,3,0,0,0
2780,1.6,1,3,2,0,2,1
9520,1.5,3,2,1,9,0,0
1120,0.71,5,3,2,9,2,1
380,0.3,5,3,5,0,2,1
1240,0.34,6,4,5,0,0,0
1680,1.0,2,2,2,0,1,1
2790,0.91,3,1,1,7,0,0
3740,2.0,0,3,1,4,2,1
1650,0.52,1,4,6,0,0,0
750,0.42,5,3,0,1,0,0
790,0.53,5,2,2,4,2,1
600,0.33,6,3,0,6,0,0
820,0.3,6,4,1,0,0,0
960,0.6,5,3,4,0,2,1
2050,1.05,2,4,4,0,1,1
2180,0.53,4,4,2,0,0,0
4020,1.53,4,2,2,8,3,1
1010,0.52,5,3,0,3,0,0
430,0.38,6,4,1,0,2,1
5800,1.21,3,3,0,4,0,0
6470,1.0,4,4,2,0,0,0
1700,1.01,5,2,1,1,2,1
9890,1.01,5,2,6,0,0,0
3530,2.03,0,4,2,1,2,1
2170,1.32,1,3,3,0,2,1
1620,1.01,1,4,3,3,2,1
3600,2.01,0,4,3,1,2,1
51370,4.63,6,4,4,0,2,1
560,0.31,6,3,1,4,0,0
2120,0.58,4,4,2,0,0,0
2170,1.02,5,2,2,7,2,1
320,0.32,5,3,1,6,2,1
6040,1.08,1,4,3,0,0,0
12670,1.71,4,3,0,6,0,0
2700,1.01,5,2,2,6,2,1
1740,0.6,4,2,1,0,0,0
1690,1.07,1,3,3,0,2,1
4810,2.17,0,3,3,0,2,1
5910,1.12,1,4,3,0,0,0
3280,0.9,2,3,5,7,0,0
8540,1.01,3,4,3,0,0,0
700,0.35,1,4,4,0,0,0
590,0.5,3,4,4,3,2,1
960,0.3,5,4,5,0,0,0
580,0.52,3,4,3,4,2,1
2990,1.71,1,3,0,6,2,1
2430,0.55,3,4,5,0,0,0
800,0.32,5,4,0,0,0,0
1020,0.33,6,4,2,0,0,0
1980,1.0,3,2,3,0,2,1
530,0.3,4,2,1,4,0,0
2370,0.59,2,4,3,0,0,0
1760,0.6,4,4,0,0,0,0
330,0.3,5,2,1,0,2,1
2500,1.14,4,3,3,0,2,1
530,0.32,5,3,0,3,0,0
780,0.3,6,3,1,0,0,0
1450,0.46,4,3,3,0,0,0
3450,0.8,3,3,4,6,0,0
3690,0.96,6,2,0,0,0,0
2320,0.5,6,3,3,0,0,0
2050,0.7,3,4,0,6,0,0
1330,0.41,5,4,4,0,0,0
400,0.42,1,1,2,4,2,1
710,0.45,2,3,1,2,0,0
890,0.31,4,4,6,0,0,0
440,0.4,5,1,3,4,2,1
970,0.3,6,4,2,0,0,0
1650,1.0,1,3,3,0,2,1
750,0.57,5,2,3,6,2,1
1540,1.0,1,2,2,0,2,1
3950,0.9,3,4,2,7,0,0
2110,1.28,1,3,4,0,2,1
810,0.33,2,4,3,0,0,0
3060,1.01,5,3,0,4,2,0
710,0.3,2,4,2,0,0,0
2540,0.7,4,2,3,6,0,0
1580,0.45,4,2,5,0,0,0
